"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"서울특별시 용산구 (1117000000)","202,507","202,507","9,908","12,658","26,807","37,317","29,032","32,001","28,344","16,124","8,691","1,572","53","96,459","96,459","5,000","6,444","11,957","18,253","14,345","15,547","13,830","7,242","3,322","500","19","106,048","106,048","4,908","6,214","14,850","19,064","14,687","16,454","14,514","8,882","5,369","1,072","34"
"서울특별시 용산구 후암동(1117051000)","15,663","15,663","579","1,050","2,011","2,845","2,185","2,514","2,294","1,356","721","101","7","7,481","7,481","304","566","948","1,445","1,063","1,218","1,071","596","244","24","2","8,182","8,182","275","484","1,063","1,400","1,122","1,296","1,223","760","477","77","5"
"서울특별시 용산구 용산2가동(1117052000)","8,502","8,502","201","381","1,191","1,694","1,125","1,191","1,245","902","490","81","1","4,188","4,188","103","199","616","909","610","564","575","390","203","19","0","4,314","4,314","98","182","575","785","515","627","670","512","287","62","1"
"서울특별시 용산구 남영동(1117053000)","6,973","6,973","120","188","824","1,313","758","1,310","1,442","672","299","44","3","4,233","4,233","63","105","380","731","451","895","1,023","422","143","19","1","2,740","2,740","57","83","444","582","307","415","419","250","156","25","2"
"서울특별시 용산구 청파동(1117055500)","18,640","18,640","433","882","3,894","3,533","2,116","2,851","2,548","1,490","785","103","5","8,586","8,586","218","426","1,431","1,811","1,087","1,442","1,227","617","300","25","2","10,054","10,054","215","456","2,463","1,722","1,029","1,409","1,321","873","485","78","3"
"서울특별시 용산구 원효로제1동(1117056000)","17,087","17,087","1,021","922","2,695","4,305","2,609","2,294","1,818","945","401","76","1","7,813","7,813","518","483","984","1,964","1,256","1,129","862","443","144","30","0","9,274","9,274","503","439","1,711","2,341","1,353","1,165","956","502","257","46","1"
"서울특별시 용산구 원효로제2동(1117057000)","13,415","13,415","693","917","1,752","2,422","1,842","2,148","1,907","1,063","568","101","2","6,241","6,241","328","427","729","1,146","911","1,054","923","476","220","27","0","7,174","7,174","365","490","1,023","1,276","931","1,094","984","587","348","74","2"
"서울특별시 용산구 효창동(1117058000)","10,409","10,409","622","678","1,386","2,084","1,574","1,668","1,251","675","399","70","2","4,897","4,897","299","352","615","1,016","770","768","618","286","153","19","1","5,512","5,512","323","326","771","1,068","804","900","633","389","246","51","1"
"서울특별시 용산구 용문동(1117059000)","11,085","11,085","543","597","1,454","2,004","1,449","1,795","1,592","1,050","535","60","6","5,221","5,221","262","296","684","983","726","861","753","432","206","16","2","5,864","5,864","281","301","770","1,021","723","934","839","618","329","44","4"
"서울특별시 용산구 한강로동(1117062500)","20,985","20,985","1,199","919","2,939","4,957","2,896","3,088","2,796","1,380","683","125","3","9,901","9,901","603","463","1,238","2,309","1,423","1,446","1,403","694","282","40","0","11,084","11,084","596","456","1,701","2,648","1,473","1,642","1,393","686","401","85","3"
"서울특별시 용산구 이촌제1동(1117063000)","24,957","24,957","2,047","2,596","2,473","2,995","4,090","4,387","3,179","1,733","1,165","285","7","11,693","11,693","1,050","1,316","1,215","1,324","1,885","2,053","1,542","776","430","100","2","13,264","13,264","997","1,280","1,258","1,671","2,205","2,334","1,637","957","735","185","5"
"서울특별시 용산구 이촌제2동(1117064000)","7,717","7,717","394","417","741","1,332","1,126","1,169","1,273","790","402","71","2","3,615","3,615","190","200","360","676","576","535","563","342","150","22","1","4,102","4,102","204","217","381","656","550","634","710","448","252","49","1"
"서울특별시 용산구 이태원제1동(1117065000)","5,949","5,949","189","240","729","1,188","765","879","986","586","315","69","3","2,946","2,946","91","118","374","665","407","417","487","245","115","26","1","3,003","3,003","98","122","355","523","358","462","499","341","200","43","2"
"서울특별시 용산구 이태원제2동(1117066000)","8,407","8,407","288","416","1,105","1,680","1,254","1,219","1,159","724","475","86","1","3,984","3,984","155","197","550","868","612","579","508","305","175","34","1","4,423","4,423","133","219","555","812","642","640","651","419","300","52","0"
"서울특별시 용산구 한남동(1117068500)","13,791","13,791","830","876","1,405","2,473","2,358","2,195","1,828","1,160","568","96","2","6,454","6,454","424","463","678","1,114","1,131","1,007","848","511","245","32","1","7,337","7,337","406","413","727","1,359","1,227","1,188","980","649","323","64","1"
"서울특별시 용산구 서빙고동(1117069000)","12,101","12,101","601","1,251","1,444","1,443","1,984","2,071","1,731","878","544","146","8","5,809","5,809","309","633","730","695","959","981","853","407","184","53","5","6,292","6,292","292","618","714","748","1,025","1,090","878","471","360","93","3"
"서울특별시 용산구 보광동(1117070000)","6,826","6,826","148","328","764","1,049","901","1,222","1,295","720","341","58","0","3,397","3,397","83","200","425","597","478","598","574","300","128","14","0","3,429","3,429","65","128","339","452","423","624","721","420","213","44","0"
